row_hash,prompt_id,condition,source_file,model_label,decode_config_hash
46e9932cc35ca8a0,factual_short_001,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
b693dae8f6a8b693,factual_short_002,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
30253661a0efad39,factual_short_003,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
79ceb908ecd54ca4,factual_short_004,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
e6c868280c3c8801,advice_001,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
8cd760013e8d8796,advice_002,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
9fdb68bbe5be7a2b,advice_003,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
44f5528013ddcfc0,explanation_001,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
16f944da0d5e8803,explanation_002,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
18b76984833fecff,explanation_003,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
122d590bba790154,conversational_001,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
343d1269a27650b0,conversational_002,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
640a12eefa4f565a,conversational_003,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
be77ddde8e4382a1,reasoning_multistep_001,vanilla42,outputs/7b_vanilla_42.jsonl,7b_vanilla_42,a2b270ccaae5d8759e40c2c9966a7ab69a443c438d195213c2639871eb55b9d3
